id,review_text,label
1,"When least you think so, this product will save the day. Just keep it around just in case you need it for something.",Neutral
2,Lithium batteries are something new introduced in the market there average developing cost is relatively high but Stallion doesn't compromise on quality and provides us with the best at a low cost. There are so many in built technical assistants that act like a sensor in their particular forté. The battery keeps my phone charged up and it works at every voltage and a high voltage is never risked.,Neutral
3,"I purchased this swing for my baby. She is 6 months now and has pretty much out grown it. It is very loud and doesn't swing very well. It is beautiful though. I love the colors and it has a lot of settings, but I don't think it was worth the money.",Neutral
4,I was looking for an inexpensive desk calcolatur and here it is. It works and does everything I need. Only issue is that it tilts slightly to one side so when I hit any keys it rocks a little bit. Not a big deal.,Neutral
5,"I only use it twice a week and the results are great. I have used other teeth whitening solutions and most of them, for the same results I would have to use it at least three times a week. Will keep using this because of the potency of the solution and also the technique of the trays, it keeps everything in my teeth, in my mouth.",Neutral
6,I'm not sure what this is supposed to be but I would recommend that you do a little more research into the culture of using pipes if you plan on giving this as a gift or using it yourself.,Neutral
7,"Pleased with ping pong table. 11 year old and 13 year old having a blast, plus lots of family entertainment too. Plus better than kids sitting on video games all day. A friend put it together. I do believe that was a challenge, but nothing they could not handle",Positive
8,"Great vitamin C serum... I really like the oil feeling, not too sticky. I used it last week on some of my recent bug bites and it helps heal the skin faster than normal.",Positive
9,"I've used tide pods laundry detergent for many years,its such a great detergent to use having a nice scent and leaver the cloths smelling fresh.",Positive
10,"Everybody wants to fall for their promises. But this is a relatively unheard of brand, some even say a non existant company. Look at how amateur their labels and products are. You have to ask yourself if you would trust this kind of amateur stuff? No way! Don't waste your money.",Negative
11,Unfortunately they didn't work for me. They made me sick and throw up once of the two times I tried them,Negative
12,"This kettle is a gift for my daughter. She said that it is easy to use. She likes the design of it, so nice and neat.",Positive
13,"I love this tumbler! Keeps drinks warm or cold for a good period of time, and its very sturdy. I get complements on how sleek it looks all the time, especially because it doesnt leave fingerprints. Highly recommend. Only suggestion when washing the lid, be sure to shake it and dry well to prevent dripping when the lid is on the tumbler.",Positive
14,"Only giving this 3 stars because it is so cheap. Has a very mild sedative effect, other than that it's pretty useless for stress/anxiety/panic attacks. Save your money ad get some ZenRx. Night and day difference.[[ASIN:B00HBGBRY4 ZenRx - Dietary supplement reduces symptoms of anxiety, stress, depression, and panic attacks. Boost your mood, increase relaxation, and beat your anxiety with Kava kava, 5-htp, Theanine, Gaba, and more. Money Back Guarantee!]]",Negative
15,"I bought 2 of these in brown for my island. The hydraulic mechanism looks as though it might fail with over use, but otherwise, I really like them. The color is Positive, as is the description. There is some padding, but not much. Definitely not a chair that you would lounge around in, but great for a bar/counter in the kitchen.",Neutral
16,wonderful headphones had them now for 5 months and works great also great price and the sound is very clear and loud and soft the the ears love my headphones not to mention that they are sony,Positive
17,"Video quality if superb, fits just fine, looks like a real mirror (I believe they enhanced this), my only gripe is I wish they put the cameras not side by side, but one on one side, the other on the other side. I only say this because due to where the left camera is place, there is wasted recording room when you start to turn it towards the driver side. Otherwise very happy with this so far.",Neutral
18,"As sling shots go, this is good enough for my purposes. Though, I would have preferred for the handle to be slimmer for better grip.",Neutral
19,"just to be fair, i really believe that this is a great slicer , and the idea was there, but unfortunately there are tricks when using this spiral slicer, i mean manual or something would have been helpful.<br /><br />I'm not saying something negative about this slicer because it does work, but however it did it took me almost a week in trying to learn how to use this slicer in cutting different kinds of vegetable.<br />the price i may say is fair, but i do wish that there were manuals in every box in showing us how to use this slicer properly.",Neutral
20,These tablets are especially helpful if you use the Secure dental adhesive.<br />I bought this stuff for my father. and he was satisfied with this.,Neutral
21,Looking decent as same shown in photos Thank You amazon .I saved cost as paint of this type is very costly and as this is digitally print looking decent.,Positive
22,"I find that the older I get, the harder it is to lose weight....but I've gotten great results taking garcinia this month. I take it before breakfast, lunch and supper. I don't take the one after supper because I don't tend to eat much in the late evenings. I find it really cuts my down my appetite. I've lost 8 lbs this month, which is WAY more than I've lost in a long time.",Neutral
23,"I have had my camera for about 2 weeks now. The pictures are great, it is so easy to use. I love it!!",Positive
24,"It is highly recommended not to buy this product.  I took the suggested dosage for a week and felt nothing, no extra energy, no loss of appetite, no pounds lost.",Negative
25,"The actual power supply is good, but the cable harness's had to be completely taken apart and re-oriented to avoid a birds nest of backwards wiring in tower. It's like they didn't test it to see if it works.",Neutral
26,"My personal physician recommended it and I bought at goo.gl/wa7AI ,with $10 off and free samples. Great stuff!!!!!<br /><br />I was told the enormous benifit of Oregano: it is one of the most powerful healing herbs and natural anti-biotics ever studied. It has been found in a recent study to be significantly better than all of the 18 currently used anti-biotics in the treatment of MRSA staph infections. The strong phenol anti-oxidants destroy pathogenic bacteria, viruses and yeasts. This super herb is very rich in anti-oxidant phytochemical flavonoids and phenolic acids. It is the third highest herb in oxygen radical absorbancy capacity (ORAC) with an impressive score of 200,129. The USDA ranks oregano's antioxidant capacity anywhere from 3 to 20 times higher than any other herb.<br /><br />You can see 2 bottles Oreganol P73 in my fridge. Wowww ... this oregano oil is just the best, it works miraculously! I had discomfort and dryness in my throat, then I took a couple drops of this oil in a tablespoon of water and drank it. This oil healed and soothed my throat almost instantly, and feel great up to now. Another time I felt my body so aching, then I took this oil in the same way - it set me free and felt great just in seconds. This oil is fantastic!!! I also have used oregano as emergency medicine to completely eliminate digestive distress after eating what I found out was contaminated food.",Positive
27,I love the fact that you can easily read the measurements...great for those of us who's eyes aren't what they use to be LOL. I get so tired of trying to read the numbers on those others where it's the same color as the cup itself.,Positive
28,I have bought several products from this seller and I have been pleased with all of them. The green coffee does exactly what it says it does! I am happy with it and will purchase another once I am finished with this bottle.,Positive
29,"This is an extremely well made electric blanket. We tried 2 before this one & took both back. You cannot feel the wires and the material is very luxurious. I did feel it was quite pricey...about $50 more than the ones we took back. However, that being said, the quality indicates it will last for years.",Neutral
30,great product for coffee lover that want little more rich flavor on their coffee. Love that is easy to clean.,Neutral
31,I figured it would for sure fit a dasani bottle.... it doesn't.  I have been able to use it with cheap water bottles though.,Neutral
32,"This dinnerware set provides a very nice aesthetic. It will allow you to set your table very decoratively, and the beauty of a white dinnerware set is that it goes with any color scheme! Before acquiring this particular dinnerware set, I already owned a plain white set of dinnerware; but this set with the platinum rim is much nicer.",Positive
33,The sides of the case didn't match my phone at all but the real issue is when the tan color became blackish in some parts. Looks unpleasant and can't use like that.,Negative
34,"Since I have a low pain tolerance this facial hair remover didn't hurt very much. It did take a lot of hair off my face which I love because I hate peach fuzz, especially when wearing foundation. The tweezers were okay, loved the color but it was a little hard for me to use. Wish the package was bubble wrapped because it was so cute but mine got smashed in the process of shipping. Great customer service!!",Neutral
35,The bag looks like a little smaller version than the one in the picture. The picture shows a lot and describes how much it holds. I found it hard to accommodate my D3100 and two lenses along with the battery charger.,Neutral
36,Bought this to use with my gel eyeliner. The handle is longer than I liked but it works well. I like that it is slanted and very easy to apply and clean.,Neutral
37,"This mask is great for the purpose of keeping out the light for sure! My hubs gets up at 4am to go work and he is a butthead by turning on all the lights. Since getting this, Ive havent had any issues sleeping through it! lol. It looks like a mini bra because its not like your traditional flat sleep masks that lay flat over your eyes. This one has little &#34;cups&#34; that doesnt touch your eyelids at all which is nice because with my old sleep mask it made me itchy. The only reason why I didnt give this 5 stars is because whenever I turned to sleep on my sides it kinda made it uncomfortable to sleep with it on. I had to sleep on my back to make it stay on. For me I hate sleeping on my back so :(",Positive
38,I used this in my photoshoot last month.. It's really cool.. it has a nice built quality and vintage look.. really awesome..,Positive
39,"My personal physician recommended it and I bought at goo.gl/5Zi8I , 600mg a tablet for only 5 cents, additional with $10 off and free samples. Great stuff!!!!!<br /><br />Recent biochemical and pharmacological studies have identified red yeast rice as a beneficial supplement for maintaining a healthy balance of cholesterol and related lipids in the body. Studies have reported lowering of LDL and triglycerides while increasing HDL. A clinical study on patients who have suffered a heart attack found that a partially purified extract of red yeast rice, reduced the risk of repeat heart attacks by 45 revascularization (bypass surgery/angioplasty), cardiovascular mortality, and total mortality by one-third; and cancer mortality by two-thirds.<br /><br />A recent study has found that nattokinase combined with red yeast rice can significantly lower cholesterol. I use it with Best Nattokinase( goo.gl/32EeB ) and this does a fabulous job of reducing my LDL and overall cholesterol( from 220 to 150 ). Amazing!",Positive
40,No go. All the reviews are fake. Buyer be ware. I took it and I got blood in my stool. Stopped taking it right away. Look all the reviews are positive with the same thing to say. Same reviewer. If anyone really took it as i did you would write a 1 star review because no-one wants blood in their stool.,Negative
42,i have read in many reviews that calcium hampers the burning of fat. But i am taking this since october. I am losing lbs. So i dont really care what it contains as long as it keeps me fit and going.,Neutral
43,Worked as expected and very cheap. It's very lightweight and durable and the length is just perfect for me and my wife. Although we still have 3 spare stylus pens we don't know what to use for.,Neutral
45,It is a true recommendable product which works great on my skin. I take a pill daily with a tall glass of water. It is the best way to restore and refresh the skin from within. My skin looks softer and like it has a glow after using this.,Positive
46,"Shower curtain is a little thinner than I would like but it works just fine (for the price) with a liner behind it. Also, the darker color is almost too dark --I added some towels and s rugs of different shades of it to bring out the colors...looks nice!",Neutral
47,I'd like to have a decent speaker set I can use for my dorm room and this is what I got for my budget and it's surprisingly good! The sound is very clear even when set to max volume and bass is decent. Perfect for me and my roommate and for some slumber party. It looks pretty conventional too. I was looking for something rather stylish.,Positive
48,I don’t really care either way for the scent or appearance. It’s the part where it cleans that I needed.,Neutral
49,Searched all over for a large dutch oven. It's great for browning or carmalizing meat and with its large high grease does not splatter all over my stove. I also love it's ability to transfer it to the oven for roasting or braising. Great for soups. Easy cleanup.,Positive
50,I had high hopes for a thickening shampoo instead it left me with less hair then before and I feel like it accelerated my hair loss further. I will not continue using it and will return the remainder for a refund,Neutral
51,"I have begun using many of the techniques discussed in this book to help deal with my anxiety and depression. It has been a huge help! I have also begun doing some meditation, and am slowly working on replacing my Zoloft with an OTC supplement. Between these three things, my life has improved 100%. Anyone out there looking for an OTC supplement for anxiety/depression should give XanRx a try.  Really helpful in conjunction with this book.[[ASIN:B00F5JJLOC XanRx - Dietary supplement reduces symptoms of anxiety, stress, depression, and panic attacks. Boost your mood, increase relaxation, and beat your anxiety with Kava kava, 5-htp, Theanine, Gaba, and more. Money Back Guarantee!]]",Positive
52,This art paper was exactly what I was looking for and made a great present for my younger brother who really loves to draw anything. It was also a great price!,Positive
53,"The only down side is that i find they are not air tight not good for brown sugar; chips and crackers go stale. My crackers took on the ""taste"" of the container as well. Seem to be fine for my pasta, rice, or cereal that gets eaten quickly.",Neutral
54,"There is no question about the goodness of the camera. The product is as good as a new one (except for the warranty time). I trust this brand and if it's inspected and reconditioned from the factory, I rest my faith in it.",Positive
55,"Love this case, it's very sleek and slides into your pocket perfectly. Every now and then my phone falls and it has protected it from those mishaps.",Positive
56,"3 month ago, I found I have recently lost more hair than I used to be every time during shampooing my hair.  I have a thick hair but it seems looked a bit thinner now.Since then, I have been taking any steps that I can possibly to make my hair grow. And i know this product by my friend. After 2 weeks using, my hair has grown rapidly. I've gone from crying over my hair, to being pretty excited about it.",Positive
57,"This is a nice stylus although I prefer the 'SERENE STYLUS PEN"" due to its small (4mm)nib tip for less screen obstruction. Its also very comfortable featuring its silicone grip. Check it out at  [...]",Neutral
58,"I bought this camera for its night vision which I have found to be very poor, if you are using this camera in low light it works well however in total darkness it doesn't work at all. I was also using night vision booster LEDs and it still did not work in total darkness.",Negative
